year,authors
2025,"vanderPalZ, GeurtsHM, HaslbeckJMB, vanKeekenA, BruijnAM, DouwL, vanRooijD, FrankeB, BuitelaarJLRN, HartmanC, OosterlaanJ, LumanM, RenemanL, HoekstraPJ, BlankenTF, SchranteeA"
2025,"BaglamisS, SheratonVM, vanNeervenSM, LogiantaraA, NijmanLE, HagemanLA, LéveilléN, ElbersCC, BijlsmaMF, VermeulenL, KrawczykPM, LenosKJ"
2025,"ChâtelBDL, QuaxR, PeetersG, CortenR, OldeRikkertMGM, VasconcelosVV"
2025,"FrankF, BaumgartnerB, VerstuyftM, TeigellBeneitezN, MissinneJ, VanThourhoutD, RoelkensG, LendlB"
2025,"HollowayP, ThelenS, McCullaghD, TangneyP, VeenenbosKR, vanderHorstSVJ, O'LearyA, BerminghamS, O'BrienC, O'LearyN"
2025,"HuntjensA, vandenBoschLMC, SizooB, KerkhofA, SmitF, vanderGaagM"
2025,"KosterM, MannsdörferL, vanderPluijmM, deHaanL, ZiermansT, vanWingenG, VermeulenJ"
2025,"LaustsenL, ShengX, AhmadMGASL, BanaiB, BanaiIP, BarlevM, BastardozN, BorA, ChengJT, ChmielińskaA, CookA, FousianiK, GarfieldZH, GhossainyM, HaSE, JiT, JonesBC, KandrikM, vanVugtM"
2025,"LimJ, SouikiA, AhmadP, OomenCA, Huisin'tVeldGJ, LansinkCS, PennartzCMA, OlceseU"
2025,"WestlundO, CarlsonM, HamadaB, HelbergerN, LechelerS, LewisSC, QuandtT, ReeseSD, SalaverríaR, SaldañaM, ThomsonTJWJK, WuS"
2025,"WiegersmaAM, BootsA, LangendamMW, LimpensJ, ShenkinSD, KorosiA, RoseboomTJ, deRooijSR"
2025,"vanLentLGG, vanWeertJCM, deJongeMJA, vanderHamMODHE, LolkemaMP, vanMilM, GortEH, vanGurpJLP, HasselaarJ, vanderRijtCCD"
2025,"BazinPL, GrootJM, MileticS, GroenewegenL, TruttiAC, MulderMJ, ForstmannBU, AlkemadeA"
2025,"GooijerSCAS, SharmaS, GiancolaSGMJR, VlugtTJH, DubbeldamDVLJM, CaleroS"
2025,"KalbS, RijsdijkK, DeGroeveJ, DenkersL, vanLoonE, FoufopoulosJ"
2025,"CoolsH, deVreeseC, AliAE, HelbergerN, PrajodP, MattisN, MorosoliS, NaudtsL, WeikmannT"
2025,"SundararajanP, FerrariP, BrünkenS, BumaWJ, CandianA, TielensA"
2025,"WoolleyJM, RodriguesNDN, ToldoJM, RiouxB, GrovesC, SchramaX, AlarcanJ, AbiolaTT, MentionMM, doCasalMT, GreenoughSE, BorjaM, BumaWJ, AshfoldMNR, BraeuningA, MunnikT, FranklinKA, AllaisF, BarbattiM, StavrosVG"
2025,"KouwenhovenWM, RobinsonEJ, HambergD, vonOerthelL, SmidtMP, vanderHeideLP"
2025,"AllaartC, AmiriS, BalH, BelloumA, GommansL, VanHalterenA, KlousS"
2025,"AlsayedKassemJ, MüllerT, EsterhuyseCA, KebedeMG, OsseyranA, GrossoP"
2025,"BartošF, SarafoglouA, AczelB, HoogeveenS, ChambersCD, WagenmakersEJ"
2025,"BeukeleersI, TheysL, SalaetsH, WermuthC, SchoutenB, BroneG"
2025,"BlankenTF, KokR, ObbelsJ, LambrichtsS, SienaertP, VerwijkE"
2025,"DankloffM, SkoricV, SilenoG, GhebreabS, vanOssenbruggenJ, Beauxis-AussaletE"
2025,"GeertsemaJ, FranßenMA, BarbanF, ŠarauskytėL, GieraM, KooijG, KorosiA"
2025,"HeynenE, HoogstederL, vanVugtE, SchalkwijkF, StamsGJ, AssinkM"
2025,"IzyumenkoE, SenftlebenM, SchutteN, SmitEG, vanNoortG, vanVelzenL"
2025,"JordansMJD, BakolisI, ArnousMKGGV, TossyehF, ChenA, MillerKE"
2025,"KaranasiouG, EdelmanE, BoisselFH, ByrneR, EmiliL, FawdryM, FilipovićN, FlynnD, GerisL, HoekstraA, JoriMC, KiapourA, KrsmanovicD, MarchalT, MusuambaF, PappalardoF, PetriniL, ReitererM, VicecontiM, FotiadisDI"
2025,"MacLeanA, DriessenA, HintonL, NettletonS, WildC, AndersonE, BrownA, HoddinottP, O'DwyerC, ZieblandS, HuntK"
