Node,degree,betweenness,closeness,eigenvector,pagerank
AdamoA,0.0016003200640128026,4.845702440007078e-08,0.255732946298984,7.997910511680833e-05,7.997910511680833e-05
GrasmanRPPP,0.006001200240048009,0.0011870761391401916,0.281829814459373,0.0004545400371717117,0.0004545400371717117
MottlO,0.0010002000400080016,5.559863121023666e-07,0.24183365358221245,0.00010711856490754113,0.00010711856490754113
vanDijkJGBTGD,0.00020004000800160032,0.0,0.19900609893833296,5.6567588761068804e-05,5.6567588761068804e-05
MazaheriS,0.000600120024004801,0.0,0.21535076998288927,0.00013679360338783762,0.00013679360338783762
HesselsJ,0.023604720944188837,0.0025022003317887007,0.3335857629685725,0.0005597810443551303,0.0005597810443551303
DachmanAH,0.000600120024004801,0.0,0.21383495145631068,8.882915573042614e-05,8.882915573042614e-05
BielefeldP,0.002400480096019204,0.00020409377445878828,0.2709935404490926,0.00021579596084126803,0.00021579596084126803
vanderSluisS,0.0030006001200240046,0.00023470565081579867,0.2698315467075038,0.0002515913289048128,0.0002515913289048128
LimbachR,0.00020004000800160032,0.0,0.22758977008524928,4.1775293886563494e-05,4.1775293886563494e-05
ParmarAN,0.008001600320064013,3.591361381122547e-05,0.28520556814503073,0.00018319533097068143,0.00018319533097068143
KisslingWD,0.009201840368073614,0.007761922005107317,0.3167925206760158,0.0008375125081783219,0.0008375125081783219
OlooAJ,0.00040008001600320064,0.0,0.18531762726125367,0.00013265103624467275,0.00013265103624467275
KarroucheN,0.00020004000800160032,0.0,0.203793661808929,5.362529533690155e-05,5.362529533690155e-05
KuijpersTW,0.00640128025605121,0.003240504330947668,0.2965331538202625,0.0005201039111048634,0.0005201039111048634
deVosJ,0.0028005601120224045,0.0009781559874787564,0.2719135802469136,0.00027842879059361087,0.00027842879059361087
LafontH,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
WolswijkN,0.00040008001600320064,0.0,0.0,0.00021664716842138937,0.00021664716842138937
VernerGA,0.007801560312062412,3.7552745018725337e-06,0.25943396226415094,0.0002396904827318738,0.0002396904827318738
MerliG,0.00020004000800160032,0.0,0.18625792811839323,5.683253457615527e-05,5.683253457615527e-05
RenemanL,0.009001800360072015,0.0023810439897339396,0.294451871657754,0.0006825695195452724,0.0006825695195452724
KoopmansLV,0.0016003200640128026,0.0,0.2676184690157959,6.542428393934842e-05,6.542428393934842e-05
BuchholzU,0.00020004000800160032,0.0,0.1916376306620209,6.791552632410354e-05,6.791552632410354e-05
XieMG,0.00040008001600320064,0.0,0.23881810788831662,5.8480429434075704e-05,5.8480429434075704e-05
LinnAJ,0.0026005201040208044,0.00037560434651255224,0.26290659504625485,0.00025211635612198274,0.00025211635612198274
vanEyllJ,0.0030006001200240046,1.1955386712646218e-06,0.2587371512481645,0.00020885659800572488,0.00020885659800572488
MartínezGJ,0.00020004000800160032,0.0,0.19499778663125278,5.938600116349865e-05,5.938600116349865e-05
TrompM,0.005201040208041609,0.0008653566774787048,0.29739776951672864,0.00038160700810155784,0.00038160700810155784
TorneP,0.004800960192038408,4.142451529492483e-05,0.28697068403908793,0.00013161635343792152,0.00013161635343792152
MartinsF,0.004400880176035207,1.0452585025686269e-05,0.26917201344332414,0.00015162372244320027,0.00015162372244320027
VicenteV,0.001200240048009602,4.8973054499800235e-05,0.24588333798492884,0.00013032498020222765,0.00013032498020222765
RoosMTL,0.0028005601120224045,2.2534588654928643e-05,0.2666464891041162,0.00023778978457195726,0.00023778978457195726
DalBenR,0.00040008001600320064,0.0,0.23399734395750332,6.62093319648686e-05,6.62093319648686e-05
EhlersA,0.0026005201040208044,0.0006706092089293022,0.2622804406073236,0.00020876305313346968,0.00020876305313346968
deJongMD,0.005001000200040008,0.001088047606642713,0.2794164287979702,0.0004518563835591692,0.0004518563835591692
IwanickaM,0.000600120024004801,0.0,0.2233502538071066,8.433844660720471e-05,8.433844660720471e-05
GrelckC,0.0014002800560112022,0.00041372757997779357,0.2752580544260244,0.00020979435271746788,0.00020979435271746788
FejerskovO,0.000600120024004801,0.0,0.23843031123139377,8.720940963942599e-05,8.720940963942599e-05
ChavezFP,0.00040008001600320064,0.0,0.21558059774620283,7.304826875630211e-05,7.304826875630211e-05
VézinaS,0.00020004000800160032,0.0,0.22074668003006764,5.299333293805718e-05,5.299333293805718e-05
BriggsMS,0.009001800360072015,9.182406445287206e-05,0.2770780856423174,0.00021326708701078215,0.00021326708701078215
WillnerS,0.000600120024004801,0.0,0.2601121936817242,4.513032772209473e-05,4.513032772209473e-05
SterkPJ,0.0014002800560112022,0.0002577499852698733,0.25425685425685424,0.00020147573727148725,0.00020147573727148725
MerlottiA,0.00020004000800160032,0.0,0.0,0.00021664716842138937,0.00021664716842138937
HardyR,0.000600120024004801,0.0,0.22806109241522132,9.205888176453654e-05,9.205888176453654e-05
SuZM,0.00020004000800160032,0.0,0.26259314456035765,4.126230999281489e-05,4.126230999281489e-05
FuerstF,0.0016003200640128026,0.0,0.25359815774323546,6.248571480609095e-05,6.248571480609095e-05
RassamF,0.000600120024004801,0.0,0.2096620656830081,9.379606022468674e-05,9.379606022468674e-05
BolscherJGM,0.00640128025605121,0.0020098101719007305,0.2986440677966102,0.0005746189329409271,0.0005746189329409271
HeuvelinkGBM,0.0008001600320064013,0.0,0.2282383419689119,0.00010347428982043704,0.00010347428982043704
