strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
random,7,47,0.08233484879024733,-1.0,-1.0,3.4335102610617154,0.05,0.01
degree,8,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
degree,9,24,0.4432674146902272,-1.0,-1.0,9.554955842720956,0.05,0.01
betweenness,0,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,2,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,1,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,4,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,3,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,5,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,6,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,7,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,8,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
betweenness,9,28,0.4603107059938934,-1.0,-1.0,11.650601330317352,0.05,0.01
degree,0,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
random,1,39,0.16057871044321514,-1.0,-1.0,5.375221159660478,0.05,0.02
degree,1,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
random,2,36,0.15218024232380015,-1.0,-1.0,4.727120706516465,0.05,0.02
degree,2,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
random,5,38,0.15447955626227108,-1.0,-1.0,5.176688838622501,0.05,0.02
random,0,50,0.1698207580270692,-1.0,-1.0,7.369338499324391,0.05,0.02
degree,3,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
random,3,41,0.16628966876441736,-1.0,-1.0,5.873112210999379,0.05,0.02
random,4,42,0.16929072137242168,-1.0,-1.0,6.0564451710674625,0.05,0.02
random,7,46,0.17715915283718917,-1.0,-1.0,7.139802766642029,0.05,0.02
random,6,39,0.1581972781497988,-1.0,-1.0,5.292804192515286,0.05,0.02
degree,4,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
degree,5,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
random,9,38,0.1568684538606825,-1.0,-1.0,5.189603816263915,0.05,0.02
degree,7,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
degree,6,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
degree,8,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
degree,9,21,0.5344337192896016,7.0,-1.0,10.248878337924495,0.05,0.02
betweenness,0,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,1,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,2,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
random,8,62,0.16271378767179534,-1.0,-1.0,9.112741036035024,0.05,0.02
betweenness,3,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,4,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,5,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,7,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,6,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,8,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
betweenness,9,30,0.5678558897523759,6.0,-1.0,15.904794965398313,0.05,0.02
degree,0,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
random,1,38,0.3352817779370376,-1.0,-1.0,11.473158495890353,0.05,0.05
degree,1,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
random,2,36,0.332639059968795,-1.0,-1.0,10.81897381917538,0.05,0.05
degree,2,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
degree,3,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
random,4,39,0.3403283241136817,-1.0,-1.0,11.906915112016902,0.05,0.05
degree,4,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
degree,5,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
random,3,51,0.33066821945010566,-1.0,-1.0,15.558927384978315,0.05,0.05
random,5,39,0.3316835009294305,-1.0,-1.0,11.639291393249872,0.05,0.05
degree,6,18,0.6525871014460296,3.0,-1.0,11.02995080364008,0.05,0.05
