node,degree,strategy,adoption_time,tau,seed_fraction
KoulouzisSZSE,1,random,0,0.05,0.0025
NicklasJA,19,random,0,0.05,0.0025
HudaN,15,random,0,0.05,0.0025
GroveDM,6,random,0,0.05,0.0025
PengYC,8,random,0,0.05,0.0025
RutteMD,3,random,0,0.05,0.0025
StuecklerJ,4,random,0,0.05,0.0025
Ros-TonenM,3,random,0,0.05,0.0025
KroonC,6,random,0,0.05,0.0025
StruthB,16,random,0,0.05,0.0025
DokukaS,2,random,0,0.05,0.0025
vanNieuwAmerongenA,197,random,0,0.05,0.0025
YuD,15,random,0,0.05,0.0025
FewerDP,6,random,0,0.05,0.0025
TuinsmaLFG,1,random,0,0.05,0.0025
MatosM,17,random,0,0.05,0.0025
JamilT,23,random,0,0.05,0.0025
FoersterM,1,random,0,0.05,0.0025
MessinaS,51,random,0,0.05,0.0025
Gallagher,20,random,0,0.05,0.0025
DimaAL,62,random,0,0.05,0.0025
vanLeeuwenNS,8,random,0,0.05,0.0025
KouwenbergJHM,9,random,0,0.05,0.0025
MüllerKH,11,random,0,0.05,0.0025
HuP,50,random,0,0.05,0.0025
EdwardsRTRHE,6,random,0,0.05,0.0025
Pott-ButerHGHMF,7,random,0,0.05,0.0025
BrennanD,16,random,0,0.05,0.0025
deFeyterPJ,11,random,0,0.05,0.0025
deGoedeMEE,6,random,0,0.05,0.0025
WaltonKS,25,random,0,0.05,0.0025
BottinoMA,19,random,0,0.05,0.0025
BertaS,7,random,0,0.05,0.0025
KampenJ,11,random,0,0.05,0.0025
GuytJ,1,random,0,0.05,0.0025
BansaghiS,13,random,0,0.05,0.0025
SpieksmaW,2,random,0,0.05,0.0025
MoonenBJJ,2,random,0,0.05,0.0025
HaunDBM,8,random,0,0.05,0.0025
DanielsenF,10,random,0,0.05,0.0025
JosephsonJR,2,random,0,0.05,0.0025
CoreraJ,5,random,0,0.05,0.0025
GuyonO,39,random,0,0.05,0.0025
KefalasE,3,random,0,0.05,0.0025
NtokosA,2,random,0,0.05,0.0025
TrebinoR,9,random,0,0.05,0.0025
MossD,2,random,0,0.05,0.0025
van'tHofMA,32,random,0,0.05,0.0025
PerrinWF,4,random,0,0.05,0.0025
DriessenJPJ,3,random,0,0.05,0.0025
ChmielewskaA,6,random,0,0.05,0.0025
BartakM,2,random,0,0.05,0.0025
RusuSI,13,random,0,0.05,0.0025
VerbergFLM,2,random,0,0.05,0.0025
VanThourhoutD,7,random,0,0.05,0.0025
NiemanD,36,random,0,0.05,0.0025
Gutiérrez-SevillanoJJMCA,3,random,0,0.05,0.0025
BisselingT,33,random,0,0.05,0.0025
ScorelleE,2,random,0,0.05,0.0025
SliepenK,19,random,0,0.05,0.0025
HavetL,3,random,0,0.05,0.0025
FalomoRCTAJ,18,random,0,0.05,0.0025
MoreniG,8,random,0,0.05,0.0025
deMoorEL,6,random,0,0.05,0.0025
BartoliJ,10,random,0,0.05,0.0025
GombosG,4,random,0,0.05,0.0025
BakkerNAC,4,random,0,0.05,0.0025
HammenHSE,1,random,0,0.05,0.0025
KolkmanD,1,random,0,0.05,0.0025
KjøbliJMTGJ,4,random,0,0.05,0.0025
DominguezV,2,random,0,0.05,0.0025
VechoO,21,random,0,0.05,0.0025
GoudriaanM,7,random,0,0.05,0.0025
vandenBroekE,2,random,0,0.05,0.0025
HoogendijkWJG,16,random,0,0.05,0.0025
vandenBergWE,5,random,0,0.05,0.0025
KoursoumisA,3,random,0,0.05,0.0025
WangXWSJ,6,random,0,0.05,0.0025
ArúsNA,4,random,0,0.05,0.0025
BarbonJLF,5,random,0,0.05,0.0025
HuangYK,182,random,0,0.05,0.0025
HeeregraveEJ,5,random,0,0.05,0.0025
GoupilM,17,random,0,0.05,0.0025
RodenkoB,15,random,0,0.05,0.0025
DalbyL,7,random,0,0.05,0.0025
FreemanJC,19,random,0,0.05,0.0025
LangBF,14,random,0,0.05,0.0025
TsichlisiSpithasN,11,random,0,0.05,0.0025
TabarésGutiérrezR,19,random,0,0.05,0.0025
JinHM,7,random,0,0.05,0.0025
TakakiH,3,random,0,0.05,0.0025
PageCA,17,random,0,0.05,0.0025
deWekkerT,1,random,0,0.05,0.0025
GoedhartP,4,random,0,0.05,0.0025
LefrancL,15,random,0,0.05,0.0025
AlgarabelPA,5,random,0,0.05,0.0025
ReijndersWNM,12,random,0,0.05,0.0025
VandenHeuvelC,6,random,0,0.05,0.0025
BestIR,2,random,0,0.05,0.0025
LedyardJ,3,random,0,0.05,0.0025
LubinJ,33,random,0,0.05,0.0025
vanAlebeekFMT,2,random,0,0.05,0.0025
MerzM,30,random,0,0.05,0.0025
ChienSC,4,random,1,0.05,0.0025
MegidoLGLFJM,5,random,1,0.05,0.0025
WirzDS,17,random,1,0.05,0.0025
FahrA,2,random,1,0.05,0.0025
DellagoC,15,random,1,0.05,0.0025
MitchellKAR,5,random,1,0.05,0.0025
PieterseA,5,random,1,0.05,0.0025
vanderVlistFN,17,random,1,0.05,0.0025
FrankF,7,random,1,0.05,0.0025
BaumgartnerB,9,random,1,0.05,0.0025
VerstuyftM,7,random,1,0.05,0.0025
TeigellBeneitezN,7,random,1,0.05,0.0025
MissinneJ,7,random,1,0.05,0.0025
RoelkensG,7,random,1,0.05,0.0025
LendlB,7,random,1,0.05,0.0025
VerhelstB,10,random,1,0.05,0.0025
ZouL,12,random,1,0.05,0.0025
KemperJ,5,random,1,0.05,0.0025
DorciomanRA,3,random,1,0.05,0.0025
vandenBergYHM,19,random,1,0.05,0.0025
BaumgartnerHA,18,random,1,0.05,0.0025
BazhydaiM,18,random,1,0.05,0.0025
BrosnanSFBHK,18,random,1,0.05,0.0025
CallJ,18,random,1,0.05,0.0025
EspinosaJ,18,random,1,0.05,0.0025
FreemanMS,18,random,1,0.05,0.0025
KrasheninnikovaA,18,random,1,0.05,0.0025
BlaryC,19,random,1,0.05,0.0025
ChambertT,19,random,1,0.05,0.0025
AlmasiB,19,random,1,0.05,0.0025
FrancesiazC,19,random,1,0.05,0.0025
MorceletL,19,random,1,0.05,0.0025
NuijtenR,28,random,1,0.05,0.0025
