strategy,run_id,n_steps,final_fraction,t_50,t_90,auc,tau,seed_fraction
betweenness,6,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,7,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,8,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
betweenness,9,14,0.9835987249259068,4.0,6.0,10.870081297171396,0.15,0.0025
random,0,21,0.98427060237546,12.0,15.0,10.047218054093602,0.15,0.005
random,1,23,0.984487096220316,13.0,16.0,11.192358513807083,0.15,0.005
random,2,23,0.984673728845192,12.0,15.0,11.935477368927906,0.15,0.005
random,3,24,0.9839869207856486,14.0,17.0,11.833725261845574,0.15,0.005
random,4,22,0.9841138309705643,12.0,15.0,11.273521309713107,0.15,0.005
random,5,23,0.9843153942054302,13.0,16.0,11.698200114965696,0.15,0.005
random,6,21,0.9849424798250133,12.0,15.0,10.348383388203326,0.15,0.005
degree,0,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,1,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
random,7,23,0.9844124431703657,13.0,16.0,11.5372929311027,0.15,0.005
degree,2,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
random,8,22,0.9842332758504849,13.0,16.0,10.244757489567236,0.15,0.005
random,9,22,0.9845468186602764,13.0,16.0,10.337170500100783,0.15,0.005
degree,3,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,4,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,5,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,6,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,7,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,8,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
degree,9,14,0.9835166065709614,3.0,5.0,11.731487909938563,0.15,0.005
betweenness,0,14,0.9836061902309019,3.0,5.0,11.767582659589557,0.15,0.005
