year,authors
2025,GeradtsZ
2025,"GhasemiO, ColognaV, MedeNG, StanleySK, StrahmN, RossR, AlfanoM, KerrJR, MarquesMD, BergerS, BesleyJC, BrickC, JoubertM, MaibachE, MiheljS, NewellBR, OreskesN, SchäferMS"
2025,"HeirmanA, DuimelSLL, TellmanRS, DirvenR, LinnAJ, HalmosGB, vanSonRJJH, vanderMolenL, BalmAJM, vanWeertJCM, vandenBrekelMWM"
2025,"HillenMA, MitchellKAR, SchoutenBC, CyrusJW, BrownR, PieterseA"
2025,"HomanAC, LeslieLM"
2025,"HunterBM, McCoyD, CordilhaAC, MarriottA, RoyV, SteinF, WoodB"
2025,"JafarianNR, KramerAW"
2025,JančiūtėL
2025,"KoelenJA, deKoningL, NottageMK, KleinAM, vanderHeijdeCM, VonkP, WiersRW"
2025,LagerwaardP
2025,"LiX, GrothP"
2025,"LockI, HoffmannLB, BurgersC, AraujoT"
2025,"LoomanMI, BlankenTF, SchoenmakersTM, ReesenJE, EfftingM, LinnebankFE, vanStratenA, KamphuisJH, LanceeJ"
2025,"LovčevićI, BendersT, TsujiS, FusaroliR"
2025,"MaierM, BartošF, QuintanaDS, DablanderF, vandenBerghD, MarsmanM, LyA, WagenmakersEM"
2025,"MeijerJJ, SouvereinF, CollotD'EscuryAM, deHeideBWF, KoopmanLACM, vanDomburghL, MulderE"
2025,"MeijersMHC, LemmensJS, LuYNGER, LanX, BlankenTF, HendriksH"
2025,"MoiseAD, OanaIE, TruchlewskiZ, WangC"
2025,MuehlenhoffHL
2025,"MullenE, BourisD"
2025,"NaiA, vanErkelPFA, BosL"
2025,"NetoPF, PlájásIZ, AmelungN"
2025,"OreelTH, HadjisotiriouS, VasconcelosVV, MarchauVAWJ, RouwetteEAJA, QuaxR, NespecaV, CoenenJ, KorziliusHPLM, WertheimH, OldeRikkertMGM"
2025,"OschatzC, MaierJ, DianM, GeberS"
2025,"OzigisMS, WichS, DescalsA, SzantoiZ, MeijaardE"
2025,"PeetersVJW, MommersS"
2025,PerehudoffSK
2025,"PetersJ, FilmerAI, vanDoornJB, MetselaarVN, VisserRM, KindtM"
2025,"PinksterFM, DuyvendakJW"
2025,"RagoneG, GoodJ, HowlandK"
2025,ReedK
2025,"ReyS, EndrissU"
2025,"RoggebandC, RawluszkoM, MeierP, DíazFernándezS, LombardoE, CaravantesP"
2025,"SeltenI, ZiermansT, RapoportI, JonkmanK, GeurtsHM"
2025,ShakthiS
2025,"StarkeAD, DierkesJ, LiedGA, KasanguGAB, TrattnerC"
2025,"StarkeC, BlankeT, HelbergerN, SmetsS, deVreeseC"
2025,"TaylorRR, MurphyJW, HostonWT, SenkaiahliyanS"
2025,"VidigalG, DonoghueSC"
2025,ZantedeschiF
2025,"deKluiverHJ, RoestJ"
2025,vanVoorstR
2025,vanVulpenB
2025,vandenBergH
2025,vandenDriesA
2025,"vanderLindenM, RidderinkhofR"
