strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
betweenness,3,0.8727165498346435,0.0,0.1,0.005
betweenness,4,0.9713854859540285,0.0,0.1,0.005
betweenness,5,0.991616462490575,0.0,0.1,0.005
betweenness,6,0.9954237680380432,0.0,0.1,0.005
betweenness,7,0.9959314087777056,0.0,0.1,0.005
betweenness,8,0.9962972087224623,0.0,0.1,0.005
betweenness,9,0.9963345352474375,0.0,0.1,0.005
betweenness,10,0.9963345352474375,0.0,0.1,0.005
degree,0,0.004994289041678797,0.0,0.1,0.005
degree,1,0.3373571327256575,0.0,0.1,0.005
degree,2,0.544795562622711,0.0,0.1,0.005
degree,3,0.8306719521026033,0.0,0.1,0.005
degree,4,0.9550215374049106,0.0,0.1,0.005
degree,5,0.988891626167387,0.0,0.1,0.005
degree,6,0.9945801885736042,0.0,0.1,0.005
degree,7,0.995595470052929,0.0,0.1,0.005
degree,8,0.9959911312176659,0.0,0.1,0.005
degree,9,0.9959911312176659,0.0,0.1,0.005
random,0,0.004994289041678797,0.0,0.1,0.005
random,1,0.020147365120602,0.0012227096985920306,0.1,0.005
random,2,0.03257709793733623,0.002102690173121759,0.1,0.005
random,3,0.07554664695826148,0.007136744852593882,0.1,0.005
random,4,0.14969130963845528,0.01657980550222766,0.1,0.005
random,5,0.348792486917053,0.04026244699344795,0.1,0.005
random,6,0.6723888229453614,0.05129024348962192,0.1,0.005
random,7,0.9047397221413481,0.025789669042953545,0.1,0.005
random,8,0.9814494636178361,0.006201408134864693,0.1,0.005
random,9,0.9939919225399955,0.0007597661113207951,0.1,0.005
random,10,0.9958321202212715,0.00024310494411855,0.1,0.005
random,11,0.9963128858629519,0.000180970996848162,0.1,0.005
random,12,0.9964203862548805,0.00017702027675883054,0.1,0.005
random,13,0.9964383029868685,0.0001562154586376284,0.1,0.005
random,14,0.996434570334371,0.0001921210418262905,0.1,0.005
random,15,0.9965958209222637,0.0,0.1,0.005
betweenness,0,0.009996043388352631,0.0,0.1,0.01
betweenness,1,0.47391249169484817,0.0,0.1,0.01
betweenness,2,0.7386023455988294,0.0,0.1,0.01
betweenness,3,0.9457720245160616,0.0,0.1,0.01
betweenness,4,0.9862862347241197,0.0,0.1,0.01
betweenness,5,0.994326368203773,0.0,0.1,0.01
betweenness,6,0.9959836659126708,0.0,0.1,0.01
betweenness,7,0.996207625062522,0.0,0.1,0.01
betweenness,8,0.9963345352474375,0.0,0.1,0.01
betweenness,9,0.9963345352474375,0.0,0.1,0.01
degree,0,0.009996043388352631,0.0,0.1,0.01
degree,1,0.46423745642128206,0.0,0.1,0.01
degree,2,0.702194053138041,0.0,0.1,0.01
degree,3,0.9141937843870611,0.0,0.1,0.01
degree,4,0.9793136398587563,0.0,0.1,0.01
degree,5,0.9925944174449247,0.0,0.1,0.01
degree,6,0.9954461639530283,0.0,0.1,0.01
degree,7,0.9958194292027802,0.0,0.1,0.01
degree,8,0.9959911312176659,0.0,0.1,0.01
degree,9,0.9959911312176659,0.0,0.1,0.01
random,0,0.009996043388352631,0.0,0.1,0.01
random,1,0.04225735892439886,0.002065290864981253,0.1,0.01
random,2,0.06912125894903436,0.003674428545046269,0.1,0.01
random,3,0.16968787559815757,0.00902613298307094,0.1,0.01
random,4,0.36926608586593807,0.01883581090971189,0.1,0.01
random,5,0.7388613916821571,0.0199074451641938,0.1,0.01
random,6,0.9455816592386881,0.007477373481391197,0.1,0.01
random,7,0.988968518808836,0.0011959722533130027,0.1,0.01
random,8,0.9950602076847849,0.0004246126240863815,0.1,0.01
random,9,0.9963210976984465,0.00018393558121607037,0.1,0.01
random,10,0.9965719319462798,0.0001931961701669483,0.1,0.01
random,11,0.9966226960202459,0.00018840591982960227,0.1,0.01
random,12,0.9966301613252411,0.0001846546204441884,0.1,0.01
random,13,0.9965495360312946,0.0002178667119876276,0.1,0.01
betweenness,0,0.019999552081700296,0.0,0.1,0.02
betweenness,1,0.6410009480937344,0.0,0.1,0.02
betweenness,2,0.8780393122961039,0.0,0.1,0.02
betweenness,3,0.9781341216695407,0.0,0.1,0.02
betweenness,4,0.9935275805693042,0.0,0.1,0.02
betweenness,5,0.9958268945077752,0.0,0.1,0.02
betweenness,6,0.996215090367517,0.0,0.1,0.02
betweenness,7,0.9963345352474375,0.0,0.1,0.02
betweenness,8,0.9963345352474375,0.0,0.1,0.02
degree,0,0.019999552081700296,0.0,0.1,0.02
degree,1,0.6048614066127672,0.0,0.1,0.02
degree,2,0.8270960710099811,0.0,0.1,0.02
degree,3,0.9586272797175128,0.0,0.1,0.02
degree,4,0.9893096832471091,0.0,0.1,0.02
degree,5,0.9948564048584206,0.0,0.1,0.02
degree,6,0.9959612699976856,0.0,0.1,0.02
degree,7,0.9959762006076758,0.0,0.1,0.02
degree,8,0.9959911312176659,0.0,0.1,0.02
degree,9,0.9959911312176659,0.0,0.1,0.02
random,0,0.019999552081700296,0.0,0.1,0.02
random,1,0.08700663665614058,0.004151787759038988,0.1,0.02
random,2,0.14682089986786412,0.008160148236063149,0.1,0.02
random,3,0.3996013527132651,0.02696401699484313,0.1,0.02
random,4,0.7701365404283592,0.02971129435975816,0.1,0.02
random,5,0.9619508335013027,0.006357985801013764,0.1,0.02
random,6,0.9915343441356297,0.0011713420646243717,0.1,0.02
random,7,0.9961747777205439,0.0005089467079755016,0.1,0.02
random,8,0.9971303367599083,0.0003241505385474401,0.1,0.02
random,9,0.9972863616343046,0.00031467143645839166,0.1,0.02
random,10,0.9973304069337752,0.0002921808433603724,0.1,0.02
random,11,0.9972892648084694,0.00025732150583928796,0.1,0.02
random,12,0.9972714310243145,0.0002942409975889412,0.1,0.02
betweenness,0,0.04999514755175323,0.0,0.1,0.05
betweenness,1,0.8429747747344217,0.0,0.1,0.05
betweenness,2,0.9725724694482393,0.0,0.1,0.05
betweenness,3,0.9951400864482318,0.0,0.1,0.05
betweenness,4,0.9964241189073778,0.0,0.1,0.05
betweenness,5,0.9966331474472391,0.0,0.1,0.05
betweenness,6,0.9967749882421446,0.0,0.1,0.05
betweenness,7,0.9967749882421446,0.0,0.1,0.05
degree,0,0.04999514755175323,0.0,0.1,0.05
degree,1,0.7755257441042753,0.0,0.1,0.05
degree,2,0.9280717863728324,0.0,0.1,0.05
degree,3,0.9836061902309019,0.0,0.1,0.05
degree,4,0.9932065724545176,0.0,0.1,0.05
degree,5,0.9957074496278546,0.0,0.1,0.05
degree,6,0.9959687353026808,0.0,0.1,0.05
degree,7,0.9959762006076758,0.0,0.1,0.05
degree,8,0.9959911312176659,0.0,0.1,0.05
degree,9,0.9959911312176659,0.0,0.1,0.05
random,0,0.04999514755175323,0.0,0.1,0.05
random,1,0.2298164281501721,0.004958680138702834,0.1,0.05
random,2,0.40980941076347677,0.009479147460940224,0.1,0.05
random,3,0.8845669749837629,0.005912341623560608,0.1,0.05
random,4,0.9840488828171076,0.0011660332177397177,0.1,0.05
random,5,0.9959844124431705,0.00041507588085754553,0.1,0.05
random,6,0.9977619015624883,0.0004895808511601587,0.1,0.05
random,7,0.9980246802983135,0.0004700732092312631,0.1,0.05
random,8,0.9980605137622897,0.0004713702847238731,0.1,0.05
random,9,0.9981532701768531,0.00041986119048689004,0.1,0.05
betweenness,0,0.002493411868341881,0.0,0.15,0.0025
betweenness,1,0.1276343195001232,0.0,0.15,0.0025
betweenness,2,0.19944308824737034,0.0,0.15,0.0025
betweenness,3,0.37784148171373544,0.0,0.15,0.0025
betweenness,4,0.5968063425231238,0.0,0.15,0.0025
betweenness,5,0.8014004912170687,0.0,0.15,0.0025
betweenness,6,0.9234209013609253,0.0,0.15,0.0025
betweenness,7,0.9653161929930647,0.0,0.15,0.0025
betweenness,8,0.9777085992848239,0.0,0.15,0.0025
betweenness,9,0.9811575701925304,0.0,0.15,0.0025
betweenness,10,0.9827850066814479,0.0,0.15,0.0025
betweenness,11,0.9833299739460856,0.0,0.15,0.0025
betweenness,12,0.9835464677909416,0.0,0.15,0.0025
betweenness,13,0.9835987249259068,0.0,0.15,0.0025
betweenness,14,0.9835987249259068,0.0,0.15,0.0025
degree,0,0.002493411868341881,0.0,0.15,0.0025
degree,1,0.1526356259284973,0.0,0.15,0.0025
degree,2,0.2468179137458661,0.0,0.15,0.0025
degree,3,0.4410278231917165,0.0,0.15,0.0025
degree,4,0.637775936335879,0.0,0.15,0.0025
degree,5,0.8165550603569909,0.0,0.15,0.0025
degree,6,0.9230252401961883,0.0,0.15,0.0025
degree,7,0.9621210424551896,0.0,0.15,0.0025
degree,8,0.9759766485259755,0.0,0.15,0.0025
degree,9,0.9807992355527684,0.0,0.15,0.0025
degree,10,0.9822773659417855,0.0,0.15,0.0025
degree,11,0.9830910841862444,0.0,0.15,0.0025
degree,12,0.9833001127261054,0.0,0.15,0.0025
degree,13,0.9834643494359963,0.0,0.15,0.0025
degree,14,0.9835166065709615,0.0,0.15,0.0025
degree,15,0.9835166065709615,0.0,0.15,0.0025
random,0,0.002493411868341881,0.0,0.15,0.0025
random,1,0.007103237702776347,0.0008726445186250023,0.15,0.0025
random,2,0.009147238210417087,0.0011652523014791887,0.15,0.0025
random,3,0.013076228229304307,0.0016464799320941405,0.15,0.0025
random,4,0.016785738281337483,0.0021933581881777514,0.15,0.0025
random,5,0.021932319544915008,0.002795323287382433,0.15,0.0025
random,6,0.028275589199196732,0.0045531114875988305,0.15,0.0025
random,7,0.03710779153882332,0.006564931137575332,0.15,0.0025
