strategy,time_step,mean_fraction,std_fraction,tau,seed_fraction
betweenness,25,0.35073495927676124,0.0,0.05,0.005
betweenness,26,0.35086933476667187,0.0,0.05,0.005
betweenness,27,0.3509663837316074,0.0,0.05,0.005
betweenness,28,0.351100759221518,0.0,0.05,0.005
betweenness,29,0.35130232245638393,0.0,0.05,0.005
betweenness,30,0.35144416325128963,0.0,0.05,0.005
betweenness,31,0.3515412122162251,0.0,0.05,0.005
betweenness,32,0.35158600404619533,0.0,0.05,0.005
betweenness,33,0.3516457264861556,0.0,0.05,0.005
betweenness,34,0.351727844841101,0.0,0.05,0.005
betweenness,35,0.3517950325860563,0.0,0.05,0.005
betweenness,36,0.3518398244160265,0.0,0.05,0.005
betweenness,37,0.3518547550260166,0.0,0.05,0.005
betweenness,38,0.3518547550260166,0.0,0.05,0.005
degree,0,0.004994289041678797,0.0,0.05,0.005
degree,1,0.09583212022127165,0.0,0.05,0.005
degree,2,0.15451688278724626,0.0,0.05,0.005
degree,3,0.201682679745881,0.0,0.05,0.005
degree,4,0.23772517226191275,0.0,0.05,0.005
degree,5,0.26492127835882734,0.0,0.05,0.005
degree,6,0.28630191186460924,0.0,0.05,0.005
degree,7,0.3029420766985435,0.0,0.05,0.005
degree,8,0.3156928176300643,0.0,0.05,0.005
degree,9,0.3248079550290027,0.0,0.05,0.005
degree,10,0.33256440691884465,0.0,0.05,0.005
degree,11,0.3384097407299575,0.0,0.05,0.005
degree,12,0.3427321523220831,0.0,0.05,0.005
degree,13,0.34622591505975975,0.0,0.05,0.005
degree,14,0.3493538778526797,0.0,0.05,0.005
degree,15,0.35176517136607616,0.0,0.05,0.005
degree,16,0.3535568445648847,0.0,0.05,0.005
degree,17,0.35465424439915494,0.0,0.05,0.005
degree,18,0.35553515038856914,0.0,0.05,0.005
degree,19,0.3561547707031571,0.0,0.05,0.005
degree,20,0.3565355012579039,0.0,0.05,0.005
degree,21,0.35677439101774505,0.0,0.05,0.005
degree,22,0.3569983501675961,0.0,0.05,0.005
degree,23,0.3572148440124521,0.0,0.05,0.005
degree,24,0.3574313378573082,0.0,0.05,0.005
degree,25,0.35776727658208474,0.0,0.05,0.005
degree,26,0.35805095817189614,0.0,0.05,0.005
degree,27,0.35828984793173724,0.0,0.05,0.005
degree,28,0.3584690152516181,0.0,0.05,0.005
degree,29,0.35860339074152875,0.0,0.05,0.005
degree,30,0.3587452315364344,0.0,0.05,0.005
degree,31,0.3588796070263451,0.0,0.05,0.005
degree,32,0.35893932946630536,0.0,0.05,0.005
degree,33,0.35896919068628547,0.0,0.05,0.005
degree,34,0.35897665599128054,0.0,0.05,0.005
degree,35,0.35897665599128054,0.0,0.05,0.005
random,0,0.004994289041678797,0.0,0.05,0.005
random,1,0.009965435637872985,0.00030686449744691695,0.05,0.005
random,2,0.01464244921726277,0.0005892412307627173,0.05,0.005
random,3,0.0182377401028719,0.0007946411086481977,0.05,0.005
random,4,0.021626242040118548,0.000857037027612603,0.05,0.005
random,5,0.02424805715437504,0.0010892153160711592,0.05,0.005
random,6,0.026410009480937347,0.0013775507313796122,0.05,0.005
random,7,0.028180779825759783,0.0016834752902957432,0.05,0.005
random,8,0.02972908408173016,0.0019373774564418395,0.05,0.005
random,9,0.031104193261815717,0.002023182589228673,0.05,0.005
random,10,0.03232327756750502,0.002010143559662267,0.05,0.005
random,11,0.033354982717818935,0.002197605123633423,0.05,0.005
random,12,0.034323979306174555,0.002459265808437193,0.05,0.005
random,13,0.035103357147656264,0.002731376353876452,0.05,0.005
random,14,0.03581181459168514,0.002960364371337631,0.05,0.005
random,15,0.036546400603196645,0.0032354483139175067,0.05,0.005
random,16,0.03714362500279949,0.0035035772957464134,0.05,0.005
random,17,0.03768262002344106,0.003701026626869395,0.05,0.005
random,18,0.03807156241368241,0.0037919092253778904,0.05,0.005
random,19,0.0384478137854322,0.0038059485393103025,0.05,0.005
random,20,0.03877628720521377,0.0038309144430557682,0.05,0.005
random,21,0.039142087149970514,0.00392916053657825,0.05,0.005
random,22,0.03946533485625555,0.003986378501421775,0.05,0.005
random,23,0.0397281135920808,0.004083697050136537,0.05,0.005
random,24,0.03999910416340059,0.004226145136763581,0.05,0.005
random,25,0.0403532914114984,0.0045614084294390315,0.05,0.005
random,26,0.040510062816394146,0.004627623749719704,0.05,0.005
random,27,0.04177024777347278,0.003498978974188987,0.05,0.005
random,28,0.04187196255403015,0.0035325521177040978,0.05,0.005
random,29,0.04204459773204034,0.003822979699502097,0.05,0.005
random,30,0.042121383726275,0.003843220204444756,0.05,0.005
random,31,0.04124829853256989,0.0032603566133715825,0.05,0.005
random,32,0.042819123125275284,0.0027991500959413,0.05,0.005
random,33,0.04223869566191127,0.003853500483499286,0.05,0.005
random,34,0.04234320993184176,0.003990748445925292,0.05,0.005
random,35,0.042429060939284675,0.004112160104994445,0.05,0.005
random,36,0.045493568639746775,0.0,0.05,0.005
random,37,0.04556822168969713,0.0,0.05,0.005
random,38,0.04609825834434466,0.0,0.05,0.005
random,39,0.046426731764126226,0.0,0.05,0.005
random,40,0.046680552133957436,0.0,0.05,0.005
random,41,0.046874650063828356,0.0,0.05,0.005
random,42,0.04708367860368935,0.0,0.05,0.005
random,43,0.0472404500085851,0.0,0.05,0.005
random,44,0.047367360193500706,0.0,0.05,0.005
random,45,0.04739722141348085,0.0,0.05,0.005
random,46,0.04741215202347092,0.0,0.05,0.005
random,47,0.04743454793845603,0.0,0.05,0.005
random,48,0.0474494785484461,0.0,0.05,0.005
random,49,0.0474494785484461,0.0,0.05,0.005
betweenness,0,0.009996043388352631,0.0,0.05,0.01
betweenness,1,0.143124827364822,0.0,0.05,0.01
betweenness,2,0.22431748449082883,0.0,0.05,0.01
betweenness,3,0.28430867543093474,0.0,0.05,0.01
betweenness,4,0.32786126477197225,0.0,0.05,0.01
betweenness,5,0.3610072189499302,0.0,0.05,0.01
betweenness,6,0.3862324845281554,0.0,0.05,0.01
betweenness,7,0.40474644091584355,0.0,0.05,0.01
betweenness,8,0.41859458168163466,0.0,0.05,0.01
betweenness,9,0.4294416698394213,0.0,0.05,0.01
betweenness,10,0.4375863175890052,0.0,0.05,0.01
betweenness,11,0.44370040237993924,0.0,0.05,0.01
betweenness,12,0.44790336909214423,0.0,0.05,0.01
betweenness,13,0.45120303389995,0.0,0.05,0.01
